theta,q,u
0.02235122381003858,-0.05445816820632631,-0.01202754669628138
0.02180664212797532,-0.05623365833153721,-0.00987308925702831
0.021244305544659947,-0.06255824349772741,-0.0049536649906834485
0.020618723109682675,-0.06319402183586521,-0.00332103311784622
0.019986782891324023,-0.06481239475154082,-0.0010861289317235512
0.019338658943808616,-0.06737032902104097,0.0017448795250073479
0.018664955653598207,-0.07142201632409166,0.005523298487258584
0.017950735490357292,-0.07192500184064243,0.007253530123670873
0.01723148547195087,-0.07403758499178403,0.009959580051168683
0.01649110962203303,-0.07618877964166919,0.012731048540935451
0.015729221825616337,-0.07755793956497287,0.015076320087751047
0.014953642429966609,-0.07554647585202774,0.015420600651283426
0.014198177671446332,-0.07047851025550014,0.013890750810407422
0.01349339256889133,-0.06993303216003392,0.01497303415823769
0.01279406224729099,-0.06178858970383497,0.011485029327719002
0.01217617635025264,-0.05710642247715552,0.009911500785788029
0.011605112125481085,-0.056672123015670255,0.01079304955843998
0.011038390895324383,-0.05545443007256191,0.011195876252888377
0.010483846594598764,-0.05654414856619002,0.01295879595051648
0.009918405108936865,-0.05561138052096112,0.013530018094702945
0.009362291303727253,-0.05436916070757541,0.01389691381709074
0.0088185996966515,-0.05073683906797903,0.012804904047484418
